frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID
map,-0.024585,2.302129,-0.707379,0.706834,3
map,-0.024603,2.277129,-0.707363,0.706850,3
map,-0.024621,2.252129,-0.707352,0.706861,3
map,-0.024638,2.227129,-0.707341,0.706872,3
map,-0.024654,2.202129,-0.707328,0.706886,3
map,-0.024669,2.177129,-0.707317,0.706896,3
map,-0.024684,2.152129,-0.707306,0.706907,3
map,-0.024697,2.127129,-0.707296,0.706918,3
map,-0.024710,2.102129,-0.707287,0.706926,3
map,-0.024723,2.077129,-0.707279,0.706934,3
map,-0.024735,2.052129,-0.707269,0.706945,3
map,-0.024746,2.027129,-0.707260,0.706953,3
map,-0.024757,2.002129,-0.707252,0.706961,3
map,-0.024766,1.977129,-0.707244,0.706969,3
map,-0.024776,1.952129,-0.707236,0.706977,3
map,-0.024785,1.927129,-0.707228,0.706985,3
map,-0.024793,1.902129,-0.707223,0.706991,3
map,-0.024801,1.877129,-0.707217,0.706996,3
map,-0.024809,1.852129,-0.707212,0.707002,3
map,-0.024816,1.827129,-0.707207,0.707007,3
map,-0.024823,1.802129,-0.707199,0.707015,3
map,-0.024829,1.777129,-0.707193,0.707020,3
map,-0.024835,1.752129,-0.707190,0.707023,3
map,-0.024841,1.727129,-0.707185,0.707029,3
map,-0.024846,1.702129,-0.707180,0.707034,3
map,-0.024851,1.677129,-0.707174,0.707039,3
map,-0.024856,1.652129,-0.707169,0.707045,3
map,-0.024860,1.627129,-0.707166,0.707047,3
map,-0.024864,1.602129,-0.707163,0.707050,3
map,-0.024868,1.577129,-0.707158,0.707056,3
map,-0.024871,1.552129,-0.707155,0.707058,3
map,-0.024875,1.527129,-0.707153,0.707061,3
map,-0.024878,1.502129,-0.707147,0.707066,3
map,-0.024881,1.477129,-0.707145,0.707069,3
map,-0.024883,1.452129,-0.707142,0.707072,3
map,-0.024885,1.427129,-0.707139,0.707074,3
map,-0.024888,1.402129,-0.707136,0.707077,3
map,-0.024890,1.377129,-0.707134,0.707080,3
map,-0.024892,1.352129,-0.707134,0.707080,3
map,-0.024893,1.327129,-0.707128,0.707085,3
map,-0.024895,1.302129,-0.707126,0.707088,3
map,-0.024896,1.277129,-0.707126,0.707088,3
map,-0.024897,1.252129,-0.707120,0.707093,3
map,-0.024898,1.227129,-0.707118,0.707096,3
map,-0.024899,1.202129,-0.707118,0.707096,3
map,-0.024900,1.177129,-0.707115,0.707099,3
map,-0.024900,1.152129,-0.707112,0.707101,3
map,-0.024900,1.127129,-0.707112,0.707101,3
map,-0.024901,1.102129,-0.707109,0.707104,3
map,-0.024901,1.077129,-0.707107,0.707107,3
map,-0.024901,1.052129,-0.707107,0.707107,3
map,-0.024901,1.027129,-0.707104,0.707109,3
map,-0.024900,1.002129,-0.707099,0.707115,3
map,-0.024900,0.977129,-0.707099,0.707115,3
map,-0.024899,0.952129,-0.707099,0.707115,3
map,-0.024898,0.927129,-0.707096,0.707118,3
map,-0.024898,0.902129,-0.707093,0.707120,3
map,-0.024897,0.877129,-0.707091,0.707123,3
map,-0.024895,0.852129,-0.707091,0.707123,3
map,-0.024894,0.827129,-0.707088,0.707126,3
map,-0.024893,0.802129,-0.707085,0.707128,3
map,-0.024891,0.777129,-0.707085,0.707128,3
map,-0.024890,0.752129,-0.707083,0.707131,3
map,-0.024888,0.727129,-0.707080,0.707134,3
map,-0.024886,0.702129,-0.707080,0.707134,3
map,-0.024884,0.677129,-0.707077,0.707136,3
map,-0.024882,0.652129,-0.707074,0.707139,3
map,-0.024879,0.627129,-0.707074,0.707139,3
map,-0.024877,0.602129,-0.707072,0.707142,3
map,-0.024874,0.577129,-0.707072,0.707142,3
map,-0.024872,0.552129,-0.707069,0.707145,3
map,-0.024869,0.527129,-0.707066,0.707147,3
map,-0.024866,0.502129,-0.707066,0.707147,3
map,-0.024863,0.477129,-0.707064,0.707150,3
map,-0.024860,0.452129,-0.707064,0.707150,3
map,-0.024857,0.427129,-0.707061,0.707153,3
map,-0.024854,0.402129,-0.707058,0.707155,3
map,-0.024850,0.377129,-0.707056,0.707158,3
map,-0.024847,0.352129,-0.707053,0.707161,3
map,-0.024843,0.327129,-0.707053,0.707161,3
map,-0.024839,0.302129,-0.707053,0.707161,3
map,-0.024835,0.277129,-0.707050,0.707163,3
map,-0.024831,0.252129,-0.707045,0.707169,3
