frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
odom,-0.033752,2.000236,-0.713472,0.700684,15
odom,-0.035090,1.923034,-0.712848,0.701319,15
odom,-0.036303,1.847296,-0.712653,0.701516,15
odom,-0.037301,1.749241,-0.708987,0.705221,15

odom,-0.027983,3.392402,-0.708335,0.705876,16
odom,-0.028651,3.270451,-0.709744,0.704459,16
odom,-0.029435,3.158478,-0.709414,0.704792,16
odom,-0.030147,3.046687,-0.709296,0.704911,16
odom,-0.030802,2.934966,-0.709053,0.705155,16
odom,-0.031423,2.823272,-0.709088,0.705120,16
odom,-0.032070,2.711600,-0.709219,0.704988,16
odom,-0.032744,2.599940,-0.709257,0.704949,16
odom,-0.033399,2.488265,-0.709093,0.705115,16
odom,-0.033983,2.376489,-0.708814,0.705396,16
odom,-0.034508,2.264676,-0.708716,0.705494,16
odom,-0.034996,2.161359,-0.708830,0.705379,16
odom,-0.035498,2.064067,-0.709021,0.705187,16
odom,-0.036011,1.971638,-0.709111,0.705096,16
odom,-0.036506,1.884526,-0.709119,0.705089,16
odom,-0.036989,1.802005,-0.709227,0.704980,16
odom,-0.037350,1.739824,-0.709085,0.705123,16
odom,-0.037569,1.699242,-0.708942,0.705266,16

odom,-0.028150,3.342402,-0.708485,0.705726,17
odom,-0.028723,3.216017,-0.708930,0.705278,17
odom,-0.029293,3.096386,-0.708655,0.705555,17
odom,-0.029821,2.976768,-0.708677,0.705533,17
odom,-0.030341,2.857158,-0.708606,0.705604,17
odom,-0.030838,2.737560,-0.708549,0.705662,17
odom,-0.031324,2.617975,-0.708540,0.705670,17
odom,-0.031811,2.498406,-0.708552,0.705659,17
odom,-0.032412,2.378855,-0.709213,0.704994,17
odom,-0.033146,2.272444,-0.709859,0.704344,17
odom,-0.033942,2.168417,-0.709752,0.704452,17
odom,-0.034661,2.071758,-0.709702,0.704502,17
odom,-0.035324,1.980260,-0.709626,0.704578,17
odom,-0.035942,1.893140,-0.709587,0.704618,17
odom,-0.036513,1.810629,-0.709509,0.704696,17
odom,-0.037078,1.729705,-0.709631,0.704573,17
odom,-0.037740,1.624242,-0.709027,0.705182,17

odom,-0.028371,3.292402,-0.708777,0.705433,18
odom,-0.028965,3.173666,-0.708971,0.705238,18
